,ÓÃ»§Âë,userId
0,15100,0
1,15291,1
2,14688,2
3,15311,3
4,15862,4
5,15513,5
6,15983,6
7,14849,7
8,14729,8
9,15012,9
10,15525,10
11,15485,11
12,15350,12
13,15605,13
14,15922,14
15,15165,15
16,14696,16
17,15235,17
18,15694,18
19,14741,19
20,15752,20
21,15601,21
22,14766,22
23,15658,23
24,14901,24
25,15955,25
26,15070,26
27,15111,27
28,15260,28
29,15923,29
30,15363,30
31,15544,31
32,15738,32
33,15827,33
34,15107,34
35,15838,35
36,15732,36
37,15823,37
38,15061,38
39,15640,39
40,15574,40
41,14829,41
42,14775,42
43,15834,43
44,15299,44
45,15646,45
46,15384,46
47,14865,47
48,15093,48
49,15240,49
50,16013,50
51,14723,51
52,15373,52
53,15769,53
54,14898,54
55,15545,55
56,15465,56
57,15708,57
58,15351,58
59,15038,59
60,14800,60
61,14813,61
62,15332,62
63,14810,63
64,15716,64
65,15221,65
66,15570,66
67,15880,67
68,15808,68
69,15023,69
70,15426,70
71,15894,71
72,15867,72
73,15555,73
74,15889,74
75,15953,75
76,15502,76
77,15987,77
78,14748,78
79,15899,79
80,15898,80
81,15039,81
82,15919,82
83,15860,83
84,15304,84
85,14867,85
86,15048,86
87,15301,87
88,14708,88
89,14825,89
90,15078,90
91,15028,91
92,15882,92
93,15984,93
94,15356,94
95,15194,95
96,15602,96
97,14850,97
98,15021,98
99,15649,99
100,14907,100
101,15018,101
102,14733,102
103,15353,103
104,15498,104
105,15002,105
106,15965,106
107,15024,107
108,15858,108
109,15180,109
110,14739,110
111,15081,111
112,14821,112
113,15628,113
114,14796,114
115,14744,115
116,15750,116
117,14952,117
118,15973,118
119,15529,119
120,16016,120
121,15916,121
122,15032,122
123,15298,123
124,15005,124
125,15581,125
126,15680,126
127,14866,127
128,15713,128
129,15347,129
130,15996,130
131,16011,131
132,15079,132
133,15660,133
134,15358,134
135,14932,135
136,14987,136
137,14896,137
138,15945,138
139,15181,139
140,15856,140
141,15271,141
142,15288,142
143,15192,143
144,15279,144
145,15380,145
146,15811,146
147,15535,147
148,15329,148
149,15211,149
150,15596,150
151,14713,151
152,14702,152
153,15805,153
154,15723,154
155,16019,155
156,15881,156
157,15514,157
158,15179,158
159,15503,159
160,15224,160
161,16010,161
162,14684,162
163,15547,163
164,15998,164
165,15454,165
166,15044,166
167,15361,167
168,15689,168
169,15854,169
170,15159,170
171,15777,171
172,15468,172
173,14961,173
174,14871,174
175,15392,175
176,15950,176
177,15512,177
178,16003,178
179,15101,179
180,15822,180
181,14913,181
182,15641,182
183,15456,183
184,15062,184
185,15727,185
186,15290,186
187,15615,187
188,15664,188
