,0,1,2,3,4,5,6,7,8,9
0,-0.09374568,0.31042913,0.44139293,-0.054838326,0.4558211,0.12894091,-0.4657134,0.5022429,0.5844283,0.3533398
1,0.19917762,-0.17228101,-0.0075962674,0.014847395,-0.27742425,-0.050708633,0.2765958,0.2917895,-0.11199323,0.4061624
2,0.47215885,0.5731397,0.2929776,0.09747128,-0.55441487,-0.061784383,0.46097976,0.35636395,0.43034515,0.2586929
3,-0.022781534,0.8333393,0.05572672,2.4829493,2.0282376,-0.16391957,0.41306543,0.22081247,0.44494727,1.2374514
4,-0.042388856,0.5870246,0.065765426,1.8997324,0.8311756,0.65571433,0.67768717,-0.43811625,0.35794935,1.1695611
5,-0.08872801,0.43351254,0.33581463,0.4945995,0.42947096,0.33915478,-0.0038427464,-0.012766111,0.44037712,0.4441498
6,1.5124459,-0.5062528,0.9974275,1.1906575,1.0636705,0.40057126,-0.24623027,-0.9941747,-0.22336821,0.33856386
7,-0.5230189,0.46589532,0.067354105,0.23358613,0.21611261,0.3755742,0.13247487,0.1631322,0.2639053,0.53664625
8,-0.3238569,0.41738108,0.41725007,0.039957646,0.40873012,0.3708731,-0.23892759,0.47716486,0.6456178,0.5682417
9,-0.3237343,0.33235577,-0.027662927,0.037180148,-0.20929174,0.4307819,0.30712277,-0.14295533,-0.06954175,0.37271386
10,0.16487473,-0.2582509,0.9976396,1.3066508,1.2602494,-0.28168902,1.6089896,-0.35267922,0.36003357,0.5018522
11,0.06301501,0.16307175,0.5792839,-0.028244417,0.280727,0.13372521,-0.21679059,0.43357247,0.45738637,0.3997388
12,0.06718787,0.23467892,0.3213137,-0.014220292,0.041933123,-0.01407112,-0.09101762,0.3172072,0.29419044,0.17242269
13,-0.102667555,0.0997036,0.16213405,-0.04473666,0.95075744,0.55872494,1.1565739,0.7613483,-0.8796393,0.21435972
14,-0.05593194,-0.107564285,0.027370244,-0.30010253,0.6443917,0.26348537,0.8985913,-0.016275013,-0.46724063,0.24773926
15,0.28087637,0.26239905,-0.41352203,-0.95426124,0.88435984,1.0073513,1.2454059,0.4395972,-0.712475,-0.08520857
16,0.5620482,0.46234605,-0.40416056,-0.6624889,1.1911322,0.33870667,1.4184513,0.49958664,-0.75241053,-0.21032216
17,0.008446571,-0.008875456,0.017193658,0.027973458,0.04889051,-0.03455689,0.014193493,-0.034712423,0.0032380966,0.013198968
18,0.2522257,0.019786743,0.09045539,0.017531129,0.10346636,0.0012801557,0.07876054,-0.0672043,-0.06258119,0.011477158
19,0.23401229,0.09470757,0.10777796,-0.007362412,0.020525284,-0.021039102,0.08696055,-0.061466243,-0.0238438,-0.0343813
20,-0.38588774,0.912991,-0.15895793,2.2058954,1.3698144,-0.23664398,1.2113748,0.06041031,0.1942691,0.9199781
21,-0.26845175,0.24911326,0.19898666,1.2313175,1.5123794,-0.40546837,0.48655674,0.75748944,0.5067637,0.92868793
22,0.4167037,-0.16106416,0.8324527,0.0990459,0.7021976,0.61272705,-0.5167102,0.70624375,0.7129409,0.69876677
23,-0.023258986,0.050535295,0.038684476,-0.005553023,0.046558,0.012757948,-0.06345524,0.023000835,0.06158615,0.009693264
24,-1.4079914,1.3938583,-0.16836804,1.5900708,1.2426404,0.24484614,1.097823,0.86282706,0.83201903,1.6003244
